Id,Sales
1,5263
2,6064
3,8314
4,13995
5,4822
6,5651
7,15344
8,8492
9,8565
10,7185
11,10457
12,8959
13,8821
14,6544
15,9191
16,10231
17,8430
18,10071
19,8234
20,9593
21,9515
22,6566
23,7273
24,14190
25,14180
26,7818
27,13213
28,7301
29,9411
30,4776
31,7248
32,6395
33,10789
34,11144
35,12412
36,12422
37,9091
38,7434
39,8336
40,5464
41,6938
42,11946
43,8096
44,6670
45,6301
46,7628
47,9379
48,3874
49,10310
50,5729
51,9198
52,8031
53,7540
54,10732
55,6096
56,10022
57,11594
58,8581
59,7148
60,9762
61,5572
62,7495
63,11525
64,13251
65,7156
66,8306
67,11035
68,11187
69,11204
70,8613
71,11545
72,5251
73,6026
74,7518
75,7444
76,12887
77,10335
78,5712
79,7150
80,9810
81,9279
82,11492
83,3866
84,14949
85,7791
86,5572
87,6379
88,7863
89,7295
90,11495
91,6164
92,8227
93,6548
94,8372
95,8445
96,6370
97,8380
98,7012
99,6571
100,10280
101,11075
102,12602
103,5425
104,10483
105,6456
106,10845
107,9194
108,14927
109,9013
110,6058
111,8897
112,7834
113,8453
114,5750
115,9716
116,8083
117,4487
118,10779
119,7038
120,10392
121,4565
122,12336
123,10750
124,7464
125,18227
126,8742
127,8560
128,9581
129,10241
130,5404
131,5291
132,10387
133,8519
134,4872
135,7475
136,9568
137,9047
138,10130
139,7972
140,9828
141,8689
142,5283
143,8382
144,8568
145,10893
146,10130
147,11338
148,9996
149,7144
150,10826
151,10607
152,6901
153,8392
154,10751
155,8658
156,8828
157,10975
158,11335
159,9758
160,7839
161,9373
162,10735
163,7118
164,9240
165,5009
166,6588
167,13355
168,11285
169,7551
170,5915
171,8733
172,7780
173,11034
174,6546
175,7893
176,7157
177,5012
178,12816
179,10635
180,9708
181,8398
182,6755
183,5588
184,8190
185,7958
186,4957
187,8074
188,9660
189,11094
190,9772
191,8592
192,16191
193,5904
194,6708
195,13443
196,6784
197,10136
198,3824
199,10260
200,11177
201,6625
202,7940
203,8132
204,7189
205,8665
206,10354
207,13957
208,3994
209,8912
210,4275
211,17286
212,6049
213,10485
214,11117
215,9660
216,10252
217,6940
218,5685
219,3511
220,5324
221,7750
222,6468
223,10141
224,9423
225,7849
226,8052
227,7186
228,10369
229,13016
230,10988
231,8353
232,5738
233,12157
234,13943
235,6756
236,10336
237,4879
238,11530
239,6757
240,5195
241,8650
242,5056
243,11404
244,6461
245,10778
246,10031
247,11660
248,11444
249,7053
250,13232
251,22205
252,13647
253,8801
254,4239
255,8711
256,11536
257,6874
258,6763
259,14096
260,6849
261,13470
262,25774
263,5216
264,8303
265,7502
266,4779
267,11326
268,7492
269,12197
270,11643
271,10104
272,9109
273,9189
274,6975
275,8573
276,5272
277,9262
278,9966
279,12709
280,8189
281,8053
282,4761
283,9829
284,6788
285,7052
286,5093
287,9283
288,6886
289,7522
290,8386
291,10052
292,0
293,7494
294,7628
295,7687
296,8579
297,8481
298,10344
299,9839
300,10784
301,6665
302,5356
303,9026
304,10539
305,7529
306,6218
307,3419
308,11053
309,8688
310,12219
311,8602
312,6678
313,10432
314,6661
315,5959
316,11678
317,7374
318,8026
319,11280
320,19898
321,7520
322,6826
323,10371
324,7753
325,8509
326,8094
327,11035
328,5662
329,9168
330,5509
331,7537
332,4432
333,13459
334,6583
335,17867
336,16459
337,7345
338,8566
339,7080
340,8192
341,6994
342,14485
343,9742
344,12767
345,4989
346,8934
347,7512
348,10047
349,9281
350,8418
351,8603
352,8204
353,7851
354,10053
355,12766
356,9347
357,10131
358,12667
359,8544
360,9135
361,9806
362,11686
363,9564
364,7160
365,8742
366,9155
367,7514
368,16556
369,8495
370,9747
371,8360
372,11470
373,6621
374,9062
375,13241
376,11300
377,14940
378,8828
379,5550
380,17133
381,10760
382,10802
383,22129
384,12065
385,8807
386,10007
387,14533
388,11506
389,13404
390,16172
391,8431
392,7261
393,8124
394,10549
395,4966
396,13780
397,8130
398,8246
399,6917
400,11084
401,8951
402,6904
403,8698
404,6690
405,5569
406,10916
407,6393
408,7985
409,7235
410,7959
411,12977
412,12027
413,10228
414,7805
415,7713
416,13376
417,9051
418,8180
419,8159
420,6377
421,14471
422,5018
423,13331
424,10141
425,4744
426,5535
427,10228
428,7940
429,6999
430,11246
431,12369
432,13988
433,8970
434,12333
435,3142
436,7465
437,9287
438,6736
439,8562
440,8230
441,8718
442,7478
443,7056
444,14441
445,11042
446,7952
447,5700
448,8924
449,13829
450,10830
451,6628
452,7541
453,13328
